episode,seed,steps,score,lines_removed,pieces_placed,task_return,total_reward,termination_reason,terminated,truncated,game_over,horizon_completed,epsilon,last_loss,replay_size,learn_steps
124,123,300,99200,117,300,159.0,159.0,horizon_completed,True,False,False,True,0.01,0.44121506810188293,16243,15244
125,124,300,97000,118,300,157.0,157.0,horizon_completed,True,False,False,True,0.01,0.24011850357055664,16543,15544
126,125,300,100000,118,300,158.0,157.99999999999997,horizon_completed,True,False,False,True,0.01,0.49017614126205444,16843,15844
127,126,300,104800,119,300,162.0,161.99999999999994,horizon_completed,True,False,False,True,0.01,0.34060603380203247,17143,16144
128,127,300,103000,118,300,163.0,162.99999999999994,horizon_completed,True,False,False,True,0.01,0.3083833158016205,17443,16444
129,128,300,104700,118,300,164.0,164.00000000000009,horizon_completed,True,False,False,True,0.01,0.5689735412597656,17743,16744
130,129,300,104300,117,300,166.0,165.9999999999999,horizon_completed,True,False,False,True,0.01,0.49334946274757385,18043,17044
131,130,300,100500,116,300,165.0,164.99999999999983,horizon_completed,True,False,False,True,0.01,0.40021657943725586,18343,17344
132,131,300,100500,116,300,162.0,161.99999999999997,horizon_completed,True,False,False,True,0.01,0.3819015920162201,18643,17644
133,132,300,114400,119,300,178.0,177.99999999999997,horizon_completed,True,False,False,True,0.01,0.5780067443847656,18943,17944
134,133,300,101600,116,300,161.0,160.9999999999998,horizon_completed,True,False,False,True,0.01,0.6865217089653015,19243,18244
135,134,300,105300,118,300,166.0,165.99999999999997,horizon_completed,True,False,False,True,0.01,0.374390184879303,19543,18544
136,135,300,106100,118,300,164.0,164.00000000000003,horizon_completed,True,False,False,True,0.01,0.6909533143043518,19843,18844
137,136,300,108500,118,300,171.0,170.99999999999991,horizon_completed,True,False,False,True,0.01,0.28453242778778076,20000,19144
138,137,300,108500,119,300,172.0,172.00000000000006,horizon_completed,True,False,False,True,0.01,0.4481881558895111,20000,19444
139,138,300,110500,119,300,172.0,171.99999999999991,horizon_completed,True,False,False,True,0.01,0.4852091670036316,20000,19744
140,139,300,105500,118,300,166.0,166.0,horizon_completed,True,False,False,True,0.01,0.18640069663524628,20000,20044
141,140,300,111100,118,300,175.0,175.0,horizon_completed,True,False,False,True,0.01,0.18418696522712708,20000,20344
142,141,300,106400,119,300,168.0,168.00000000000009,horizon_completed,True,False,False,True,0.01,0.18777251243591309,20000,20644
143,142,300,108800,117,300,172.0,171.99999999999986,horizon_completed,True,False,False,True,0.01,0.46006956696510315,20000,20944
144,143,300,102600,115,300,164.0,163.99999999999991,horizon_completed,True,False,False,True,0.01,0.3492831289768219,20000,21244
145,144,300,109300,119,300,171.0,171.00000000000014,horizon_completed,True,False,False,True,0.01,0.16815462708473206,20000,21544
146,145,300,104500,118,300,164.0,164.00000000000014,horizon_completed,True,False,False,True,0.01,0.3571746051311493,20000,21844
147,146,300,110700,119,300,171.0,170.9999999999999,horizon_completed,True,False,False,True,0.01,0.11879053711891174,20000,22144
148,147,300,108100,118,300,169.0,168.99999999999991,horizon_completed,True,False,False,True,0.01,0.16933296620845795,20000,22444
149,148,300,106600,118,300,167.0,166.99999999999991,horizon_completed,True,False,False,True,0.01,0.4062225818634033,20000,22744
150,149,300,114800,119,300,179.0,179.0000000000001,horizon_completed,True,False,False,True,0.01,0.2834107577800751,20000,23044
151,150,300,107400,117,300,172.0,171.9999999999999,horizon_completed,True,False,False,True,0.01,0.022435128688812256,20000,23344
152,151,300,112400,118,300,176.0,175.99999999999986,horizon_completed,True,False,False,True,0.01,0.27658310532569885,20000,23644
153,152,300,108600,116,300,173.0,172.99999999999974,horizon_completed,True,False,False,True,0.01,0.16156616806983948,20000,23944
154,153,300,110200,118,300,169.0,168.9999999999999,horizon_completed,True,False,False,True,0.01,0.044687382876873016,20000,24244
155,154,300,114000,119,300,177.0,176.99999999999997,horizon_completed,True,False,False,True,0.01,0.3830356299877167,20000,24544
156,155,300,114500,118,300,178.0,178.0,horizon_completed,True,False,False,True,0.01,0.17554733157157898,20000,24844
157,156,300,109500,117,300,176.0,176.0,horizon_completed,True,False,False,True,0.01,0.14653748273849487,20000,25144
158,157,300,111900,119,300,176.0,175.9999999999999,horizon_completed,True,False,False,True,0.01,0.031874120235443115,20000,25444
159,158,300,114500,118,300,178.0,177.9999999999998,horizon_completed,True,False,False,True,0.01,0.23203065991401672,20000,25744
160,159,300,115700,118,300,180.0,179.99999999999986,horizon_completed,True,False,False,True,0.01,0.27787166833877563,20000,26044
161,160,300,112200,118,300,171.0,171.00000000000003,horizon_completed,True,False,False,True,0.01,0.10263344645500183,20000,26344
162,161,300,112100,117,300,179.0,178.99999999999994,horizon_completed,True,False,False,True,0.01,0.4285924732685089,20000,26644
163,162,300,111000,118,300,177.0,176.99999999999977,horizon_completed,True,False,False,True,0.01,0.08029541373252869,20000,26944
164,163,300,112600,118,300,177.0,176.9999999999998,horizon_completed,True,False,False,True,0.01,0.2337859570980072,20000,27244
165,164,300,114600,119,300,180.0,179.99999999999994,horizon_completed,True,False,False,True,0.01,0.1628066599369049,20000,27544
166,165,300,118000,119,300,184.0,183.99999999999994,horizon_completed,True,False,False,True,0.01,0.11360705643892288,20000,27844
167,166,300,122300,117,300,191.0,190.9999999999999,horizon_completed,True,False,False,True,0.01,0.19393132627010345,20000,28144
168,167,300,116100,118,300,182.0,181.99999999999983,horizon_completed,True,False,False,True,0.01,0.03769141063094139,20000,28444
169,168,300,110700,117,300,176.0,176.00000000000003,horizon_completed,True,False,False,True,0.01,0.02881208434700966,20000,28744
170,169,300,115100,118,300,187.0,187.0000000000001,horizon_completed,True,False,False,True,0.01,0.04074787721037865,20000,29044
171,170,300,119400,119,300,185.0,184.99999999999994,horizon_completed,True,False,False,True,0.01,0.03174799680709839,20000,29344
172,171,300,123000,118,300,184.0,183.99999999999994,horizon_completed,True,False,False,True,0.01,0.32341161370277405,20000,29644
173,172,300,112900,118,300,181.0,181.0,horizon_completed,True,False,False,True,0.01,0.30408725142478943,20000,29944
174,173,300,111000,114,300,178.0,177.99999999999991,horizon_completed,True,False,False,True,0.01,0.05168578028678894,20000,30244
175,174,300,114400,119,300,182.0,182.0,horizon_completed,True,False,False,True,0.01,0.07636430859565735,20000,30544
176,175,300,115800,118,300,185.0,185.00000000000017,horizon_completed,True,False,False,True,0.01,0.32345205545425415,20000,30844
177,176,300,117300,119,300,184.0,183.9999999999998,horizon_completed,True,False,False,True,0.01,0.22489367425441742,20000,31144
178,177,300,114700,118,300,181.0,180.9999999999999,horizon_completed,True,False,False,True,0.01,0.205990269780159,20000,31444
179,178,194,39400,64,194,99.0,98.99999999999993,game_over,True,False,True,False,0.01,0.10958428680896759,20000,31638
180,179,300,114000,118,300,180.0,179.99999999999994,horizon_completed,True,False,False,True,0.01,0.1003483384847641,20000,31938
181,180,300,123000,118,300,189.0,188.9999999999998,horizon_completed,True,False,False,True,0.01,0.024871855974197388,20000,32238
182,181,300,117300,119,300,182.0,181.9999999999999,horizon_completed,True,False,False,True,0.01,0.12011238932609558,20000,32538
183,182,144,15900,43,144,63.0,62.99999999999998,game_over,True,False,True,False,0.01,0.0670105442404747,20000,32682
184,183,300,117100,118,300,183.0,183.0,horizon_completed,True,False,False,True,0.01,0.07786640524864197,20000,32982
185,184,300,117400,118,300,182.0,182.00000000000003,horizon_completed,True,False,False,True,0.01,0.05419350415468216,20000,33282
186,185,300,116300,118,300,185.0,184.99999999999997,horizon_completed,True,False,False,True,0.01,0.36993908882141113,20000,33582
187,186,300,109600,117,300,173.0,172.9999999999998,horizon_completed,True,False,False,True,0.01,0.06193360313773155,20000,33882
188,187,300,119000,115,300,178.0,177.99999999999991,horizon_completed,True,False,False,True,0.01,0.40395796298980713,20000,34182
189,188,300,114200,119,300,177.0,176.99999999999991,horizon_completed,True,False,False,True,0.01,0.03694058209657669,20000,34482
190,189,300,112700,118,300,179.0,179.0,horizon_completed,True,False,False,True,0.01,0.03332909196615219,20000,34782
191,190,300,122600,119,300,191.0,190.99999999999983,horizon_completed,True,False,False,True,0.01,0.1896505206823349,20000,35082
192,191,300,116100,119,300,183.0,182.99999999999991,horizon_completed,True,False,False,True,0.01,0.10182824730873108,20000,35382
193,192,300,108900,117,300,173.0,172.9999999999999,horizon_completed,True,False,False,True,0.01,0.10077394545078278,20000,35682
194,193,300,117900,119,300,187.0,186.99999999999983,horizon_completed,True,False,False,True,0.01,0.0746004655957222,20000,35982
195,194,300,105100,115,300,171.0,171.00000000000003,horizon_completed,True,False,False,True,0.01,0.12617306411266327,20000,36282
196,195,300,108300,116,300,174.0,174.00000000000003,horizon_completed,True,False,False,True,0.01,0.3366110026836395,20000,36582
197,196,300,112600,118,300,179.0,178.99999999999997,horizon_completed,True,False,False,True,0.01,0.08629566431045532,20000,36882
198,197,300,112600,117,300,179.0,178.99999999999983,horizon_completed,True,False,False,True,0.01,0.40730994939804077,20000,37182
199,198,300,115900,118,300,182.0,181.99999999999991,horizon_completed,True,False,False,True,0.01,0.0804082453250885,20000,37482
200,199,300,109000,116,300,174.0,173.99999999999994,horizon_completed,True,False,False,True,0.01,0.06855352967977524,20000,37782
201,200,300,111700,117,300,175.0,174.99999999999986,horizon_completed,True,False,False,True,0.01,0.12958861887454987,20000,38082
202,201,300,115600,117,300,183.0,182.9999999999999,horizon_completed,True,False,False,True,0.01,0.4365975260734558,20000,38382
203,202,300,114600,119,300,180.0,179.99999999999997,horizon_completed,True,False,False,True,0.01,0.08784784376621246,20000,38682
204,203,300,116800,118,300,184.0,184.00000000000003,horizon_completed,True,False,False,True,0.01,0.0819040909409523,20000,38982
205,204,300,110200,115,300,180.0,179.99999999999983,horizon_completed,True,False,False,True,0.01,0.048441141843795776,20000,39282
206,205,300,119700,116,300,183.0,183.00000000000009,horizon_completed,True,False,False,True,0.01,0.18062128126621246,20000,39582
207,206,300,114400,118,300,181.0,180.9999999999998,horizon_completed,True,False,False,True,0.01,0.10279395431280136,20000,39882
208,207,300,123000,118,300,186.0,185.99999999999997,horizon_completed,True,False,False,True,0.01,0.6049712896347046,20000,40182
209,208,300,116700,119,300,183.0,182.99999999999994,horizon_completed,True,False,False,True,0.01,0.0989866852760315,20000,40482
210,209,300,113700,118,300,177.0,176.99999999999994,horizon_completed,True,False,False,True,0.01,0.1124660074710846,20000,40782
211,210,300,117400,115,300,186.0,186.00000000000009,horizon_completed,True,False,False,True,0.01,0.10070697218179703,20000,41082
212,211,300,105800,115,300,167.0,166.99999999999991,horizon_completed,True,False,False,True,0.01,0.02211935631930828,20000,41382
213,212,300,122900,119,300,193.0,192.9999999999999,horizon_completed,True,False,False,True,0.01,0.157207190990448,20000,41682
214,213,300,116700,119,300,183.0,183.00000000000009,horizon_completed,True,False,False,True,0.01,0.1813199818134308,20000,41982
215,214,300,119000,119,300,180.0,179.99999999999991,horizon_completed,True,False,False,True,0.01,0.16152307391166687,20000,42282
216,215,300,115100,117,300,183.0,182.99999999999986,horizon_completed,True,False,False,True,0.01,0.048705339431762695,20000,42582
217,216,300,116500,119,300,180.0,180.00000000000003,horizon_completed,True,False,False,True,0.01,0.5796486139297485,20000,42882
